Zawód,Branża,Min,Max,Trend,TrendProc,Zapotrzebowanie
DevOps / SRE,IT,16000,26000,bardzo wysokie,12,bardzo wysokie 
Pielęgniarka,medycyna,7200,11000,bardzo wysokie,9,bardzo wysokie 
Spec. cyberbezpieczeństwa,IT,14000,25000,bardzo wysokie,15,bardzo wysokie 
Fullstack Developer,IT,12000,20000,wysokie,8,wysokie
Administrator sieci,IT,8500,14000,umiarkowane,-3,umiarkowane
Helpdesk IT,IT,5000,7500,stabilne,0,stabilne
Kierownik budowy,budownictwo,12000,17000,wysokie,6,Wysokie
Cieśla / zbrojarz,budownictwo,7000,9000,bardzo wysokie,10,bardzo wysokie 
Operator koparki,budownictwo,8000,10000,umiarkowane,0,umiarkowane
Ratownik medyczny,medycyna,5500,7500,wysokie,11,Wysokie
Kierowca kat. C+E,transport,8000,11000,bardzo wysokie,8,bardzo wysokie 
Magazynier,transport,4500,5800,niskie,-4,niskie
Nauczyciel matematyki,edukacja,6000,8000,umiarkowane,-2,umiarkowane
Korepetytor online,edukacja,6000,11000,wysokie,18,Wysokie
Przedstawiciel handlowy,handel,7000,11000,umiarkowane,4,umiarkowane
Kasjer / sprzedawca,handel,4200,4800,niskie,-6,niskie
Operator CNC,produkcja,5500,8000,wysokie,8,Wysokie
Technolog produkcji,produkcja,8000,14000,wysokie,10,wysokie
Kontroler jakości,produkcja,5300,8800,umiarkowane,0,umiarkowane
Kucharz,gastronomia,5500,7500,wysokie,10,wysokie
Pomoc kuchenna,gastronomia,4300,5300,umiarkowane,0,umiarkowane
Barista,gastronomia,3500,5000,umiarkowane,0,umiarkowane
Specjalista SEO,marketing,7500,12000,wysokie,15,wysokie
Social Media Manager,marketing,6000,10000,wysokie,12,wysokie
Copywriter,marketing,5000,8000,umiarkowane,5,umiarkowane
Księgowy,finanse,6500,9000,wysokie,5,wysokie
Analityk finansowy,finanse,8000,14000,wysokie,10,wysokie
Doradca podatkowy ,finanse,8500,14000,wysokie,8,wysokie
Fryzjer,usługi,4800,7900,umiarkowane,5,umiarkowane
Kosmetyczka,usługi,4700,10000,umiarkowane,5,umiarkowane
Serwisant RTV/AGD,usługi,5000,7500,umiarkowane,0,umiarkowane
Planista produkcji,logistyka,6400,9100,wysokie,8,wysokie
Specjalista ds. łańcucha dostaw,logistyka,9000,14000,wysokie,12,wysokie
Analityk danych,IT,12000,20000,bardzo wysokie,18,bardzo wysokie
Architekt oprogramowania,IT,18000,28000,bardzo wysokie,14,bardzo wysokie
Product Owner (IT),IT,14000,21000,wysokie,11,wysokie
Monter rusztowań,budownictwo,6200,8500,wysokie,9,wysokie
Brukarz,budownictwo,7000,9500,wysokie,7,wysokie
Inspektor nadzoru,budownictwo,10000,16000,umiarkowane,4,umiarkowane
Fizjoterapeuta,medycyna,6500,11000,bardzo wysokie,14,bardzo wysokie
Diagnosta laboratoryjny,medycyna,7000,12000,bardzo wysokie,13,bardzo wysokie
Sanitariusz,medycyna,4200,5400,umiarkowane,0,umiarkowane
Kurier,transport,5000,7000,wysokie,2,wysokie
Dyspozytor transportu,transport,5500,8000,umiarkowane,3,umiarkowane
Pilot wycieczek,transport,4800,6500,niskie,0,niskie
Wykładowca akademicki,edukacja,8000,14000,umiarkowane,5,umiarkowane
Pedagog szkolny,edukacja,5500,7500,umiarkowane,0,umiarkowane
Instruktor jazdy,edukacja,4500,6500,niskie,0,niskie
Merchant / Kupiec,handel,8000,12000,wysokie,7,wysokie
Visual merchandiser,handel,5500,8000,umiarkowane,3,umiarkowane
Pracownik reklamacji,handel,4000,5500,niskie,0,niskie
Spawacz MAG,produkcja,7500,11000,bardzo wysokie,15,bardzo wysokie
Lakiernik,produkcja,5500,8500,wysokie,5,wysokie
Pakowacz,produkcja,3800,4800,niskie,-2,niskie
Szef kuchni,gastronomia,9000,15000,bardzo wysokie,12,bardzo wysokie
Dostawca jedzenia,gastronomia,4000,5500,umiarkowane,0,umiarkowane
Manager restauracji,gastronomia,8000,13000,wysokie,9,wysokie
Analityk marketingu,marketing,9000,15000,bardzo wysokie,13,bardzo wysokie
Grafik komputerowy,marketing,6000,10000,wysokie,8,wysokie
Specjalista e-commerce,marketing,8500,14000,bardzo wysokie,15,bardzo wysokie
Kontroler finansowy,finanse,11000,18000,bardzo wysokie,12,bardzo wysokie
Windykator,finanse,5000,7500,umiarkowane,-3,umiarkowane
Specjalista ds. płac,finanse,6000,8500,wysokie,4,wysokie
Hydraulik,usługi,7000,10000,wysokie,10,wysokie
Elektryk,usługi,7500,12000,bardzo wysokie,12,bardzo wysokie
Sprzątaczka,usługi,3800,4800,niskie,-2,niskie
Pracownik magazynu,logistyka,4200,5500,wysokie,1,wysokie
Analityk logistyczny,logistyka,7500,12000,wysokie,11,wysokie
Kierowca wózka widłowego,logistyka,4500,6000,wysokie,4,wysokie
Asystent zarządu,admin_biurowe,7000,11000,wysokie,9,wysokie
Specjalista ds. kadr,admin_biurowe,5500,8000,umiarkowane,4,umiarkowane
Recepcjonista,admin_biurowe,4500,6000,niskie,0,niskie
Sekretarka,admin_biurowe,4800,6500,niskie,-1,niskie
Pracownik biurowy,admin_biurowe,4500,6000,umiarkowane,0,umiarkowane
Office Manager,admin_biurowe,8000,13000,wysokie,11,wysokie
Archiwista,admin_biurowe,4500,5800,niskie,-3,niskie
Data Entry Clerk,admin_biurowe,4000,5200,niskie,-5,niskie
Tłumacz,admin_biurowe,5500,8000,umiarkowane,2,umiarkowane
Specjalista ds. zakupów,admin_biurowe,6500,9000,wysokie,6,wysokie
Agent nieruchomości,nieruchomosci,5000,10000*,bardzo wysokie,15,bardzo wysokie
Zarządca nieruchomości,nieruchomosci,7000,11000,wysokie,12,wysokie
Wycena nieruchomości,nieruchomosci,8000,13000,wysokie,10,wysokie
Specjalista ds. wynajmu,nieruchomosci,5500,8000,wysokie,9,wysokie
Home Stager,nieruchomosci,4500,7000,umiarkowane,14,umiarkowane
Inspektor budowlany,nieruchomosci,9000,15000,wysokie,6,wysokie
Pośrednik kredytowy,nieruchomosci,6000,12000,bardzo wysokie,11,bardzo wysokie
Pracownik ochrony obiektu,nieruchomosci,3800,4800,umiarkowane,0,umiarkowane
Konserwator budynków,nieruchomosci,5000,6500,umiarkowane,3,umiarkowane
Developer,nieruchomosci,12000,20000,bardzo wysokie,18,bardzo wysokie
Specjalista ds. ochr. środ.,ochrona_srodowiska,6500,11000,bardzo wysokie,14,bardzo wysokie
Audytor energetyczny,ochrona_srodowiska,8000,13000,bardzo wysokie,16,bardzo wysokie
Inspektor ochrony środ.,ochrona_srodowiska,7000,10000,wysokie,7,wysokie
Leśnik,ochrona_srodowiska,5000,7000,umiarkowane,0,umiarkowane
Technik oczyszczania wody,ochrona_srodowiska,4800,6500,wysokie,4,wysokie
Pracownik gosp. odpadami,ochrona_srodowiska,4500,6000,wysokie,3,wysokie
Inżynier ekolog,ochrona_srodowiska,8000,14000,bardzo wysokie,15,bardzo wysokie
Architekt krajobrazu,ochrona_srodowiska,4800,7000,umiarkowane,5,umiarkowane
Geolog,ochrona_srodowiska,7000,12000,wysokie,6,wysokie
Konsultant ESG,ochrona_srodowiska,10000,18000,bardzo wysokie,22,bardzo wysokie
Programista Embedded,IT,9000,15000,bardzo wysokie,10,bardzo wysokie
Projetant UX/UI,IT,8000,14000,wysokie,12,wysokie
Monter rusztowań,budownictwo,6200,9500,wysokie,9,wysokie
Kierownik projektu budowlanego,budownictwo,10000,16000,bardzo wysokie,8,bardzo wysokie
Architekt wnętrz,budownictwo,5500,10000,wysokie,6,wysokie
Geodeta,budownictwo,6000,10000,wysokie,5,wysokie
Nauczyciel języka angielskiego,edukacja,5800,9000,wysokie,8,wysokie
Trener / Szkoleniowiec,edukacja,7000,12000,wysokie,9,wysokie
Nauczyciel przedmiotów zawodowych,edukacja,6500,9500,wysokie,7,wysokie
Wykładowca akademicki,edukacja,7000,12000,umiarkowane,5,umiarkowane
Pedagog specjalny,edukacja,5800,8500,bardzo wysokie,12,bardzo wysokie
Doradca podatkowy,finanse,7000,12000,wysokie,9,wysokie
Analityk finansowy,finanse,8000,14000,wysokie,10,wysokie
Specjalista ds. controllingu,finanse,9000,15000,wysokie,8,wysokie
Księgowy,finanse,5500,9000,wysokie,6,wysokie
Manager restauracji,gastronomia,5000,8500,wysokie,9,wysokie
Dietetyk,gastronomia,5000,9000,wysokie,10,wysokie
Dostawca jedzenia,gastronomia,3500,5000,umiarkowane,2,umiarkowane
Sommelier,gastronomia,4500,8000,umiarkowane,5,umiarkowane
Przedstawiciel handlowy,handel,5000,10000,wysokie,10,wysokie
Kierownik sklepu,handel,5500,10000,wysokie,9,wysokie
Analityk rynku,handel,7000,12000,wysokie,8,wysokie
Specjalista ds. zakupów,handel,6000,11000,wysokie,12,wysokie
Kasjer / sprzedawca,handel,4200,5500,umiarkowane,3,umiarkowane
Spedytor międzynarodowy,logistyka,7000,12000,bardzo wysokie,12,bardzo wysokie
Analityk logistyczny,logistyka,6500,11000,wysokie,10,wysokie
Koordynator transportu,logistyka,5500,8500,wysokie,9,wysokie
Pracownik magazynu,logistyka,4200,5500,wysokie,5,wysokie
Specjalista ds. łańcucha dostaw,logistyka,8000,14000,bardzo wysokie,15,bardzo wysokie
Specjalista SEO,marketing,6000,10000,bardzo wysokie,15,bardzo wysokie
Grafik komputerowy,marketing,5000,9000,wysokie,8,wysokie
Specjalista e-commerce,marketing,6500,12000,bardzo wysokie,15,bardzo wysokie
Analityk marketingu,marketing,7000,12000,bardzo wysokie,10,bardzo wysokie
Ratownik medyczny,medycyna,5500,8500,bardzo wysokie,12,bardzo wysokie
Fizjoterapeuta,medycyna,6000,11000,bardzo wysokie,14,bardzo wysokie
Diagnosta laboratoryjny,medycyna,5000,8500,bardzo wysokie,13,bardzo wysokie
Opiekun medyczny,medycyna,4800,7500,bardzo wysokie,12,bardzo wysokie
Sanitariusz,medycyna,4200,5400,wysokie,5,wysokie
Spawacz MAG,produkcja,6000,9000,bardzo wysokie,15,bardzo wysokie
Technolog produkcji,produkcja,6500,11000,wysokie,10,wysokie
Kontroler jakości,produkcja,5000,8000,wysokie,8,wysokie
Lakiernik,produkcja,5500,7000,wysokie,5,wysokie
Kierowca kat. C+E,transport,6000,9000,bardzo wysokie,12,bardzo wysokie
Kurier,transport,4500,6500,wysokie,10,wysokie
Dyspozytor transportu,transport,5000,7500,wysokie,8,wysokie
Pilot wycieczek,transport,4500,6000,umiarkowane,3,umiarkowane
Mechanik samochodowy,transport,5500,9000,bardzo wysokie,10,bardzo wysokie
Elektryk,usługi,6000,10000,bardzo wysokie,12,bardzo wysokie
Hydraulik,usługi,6000,9000,bardzo wysokie,10,bardzo wysokie
Monter instalacji sanitarnych,usługi,5500,8000,wysokie,8,wysokie
Sprzątaczka,usługi,4200,5500,umiarkowane,3,umiarkowane